,kernel,C,gamma,aacut,accutr,score
0,linear,1,0.01,0.5,0.5625,0.25
1,linear,1,0.0101,0.5,0.5625,0.25
2,linear,1,0.0102,0.5,0.5625,0.25
3,linear,1,0.0103,0.5,0.5625,0.25
4,linear,1,0.0104,0.5,0.5625,0.25
5,linear,1,0.0105,0.5,0.5625,0.25
6,linear,1,0.0106,0.5,0.5625,0.25
7,linear,1,0.0107,0.5,0.5625,0.25
8,linear,1,0.0108,0.5,0.5625,0.25
9,linear,1,0.0109,0.5,0.5625,0.25
10,linear,1,0.011,0.5,0.5625,0.25
11,linear,1,0.0111,0.5,0.5625,0.25
12,linear,1,0.0112,0.5,0.5625,0.25
13,linear,1,0.0113,0.5,0.5625,0.25
14,linear,1,0.0114,0.5,0.5625,0.25
15,linear,1,0.0115,0.5,0.5625,0.25
16,linear,1,0.0116,0.5,0.5625,0.25
17,linear,1,0.0117,0.5,0.5625,0.25
18,linear,1,0.0118,0.5,0.5625,0.25
19,linear,1,0.0119,0.5,0.5625,0.25
20,linear,1,0.012,0.5,0.5625,0.25
21,linear,1,0.0121,0.5,0.5625,0.25
22,linear,1,0.0122,0.5,0.5625,0.25
23,linear,1,0.0123,0.5,0.5625,0.25
24,linear,1,0.0124,0.5,0.5625,0.25
25,linear,1,0.0125,0.5,0.5625,0.25
26,linear,1,0.0126,0.5,0.5625,0.25
27,linear,1,0.0127,0.5,0.5625,0.25
28,linear,1,0.0128,0.5,0.5625,0.25
29,linear,1,0.0129,0.5,0.5625,0.25
30,linear,1,0.013,0.5,0.5625,0.25
31,linear,1,0.0131,0.5,0.5625,0.25
32,linear,1,0.0132,0.5,0.5625,0.25
33,linear,1,0.0133,0.5,0.5625,0.25
34,linear,1,0.0134,0.5,0.5625,0.25
35,linear,1,0.0135,0.5,0.5625,0.25
36,linear,1,0.0136,0.5,0.5625,0.25
37,linear,1,0.0137,0.5,0.5625,0.25
38,linear,1,0.0138,0.5,0.5625,0.25
39,linear,1,0.0139,0.5,0.5625,0.25
40,linear,1,0.014,0.5,0.5625,0.25
41,linear,1,0.0141,0.5,0.5625,0.25
42,linear,1,0.0142,0.5,0.5625,0.25
