code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2
000726,0.012658,0.06833,0.050232,3.115125,0.362356,9.459552,0.561459,0.288593,0.874916,-0.008708,97.48,较高,97
000726,0.017504,0.077793,0.053981,5.849678,0.648811,5.625206,0.963489,0.342774,0.838288,0.026351,111.44,较高,97
000726,0.011271,0.080888,0.052054,7.774134,1.132282,3.5269,1.316161,0.314215,0.797881,0.059985,131.68,较高,97
000726,0.01101,0.075908,0.048675,9.09455,1.879358,2.553007,1.621683,0.332915,0.825431,0.072083,131.00,较高,97
000726,0.008392,0.070672,0.062037,2.695304,0.397048,12.27774,1.753036,0.329985,0.827814,0.02836,131.00,较高,97
002241,0.018449,0.033819,0.052219,1.332112,0.720087,5.28986,0.602207,0.534533,0.803943,0.009189,97.48,中等,99
002241,0.047106,0.02919,0.062474,2.706087,1.334344,2.63401,0.735752,0.595915,0.770853,0.023369,111.44,中等,99
002241,0.112697,0.026721,0.05887,3.154815,2.331687,1.436024,0.708189,0.641283,0.754452,0.019473,131.68,中等,99
002241,0.144519,0.028224,0.059332,5.802351,5.286798,0.850632,0.833829,0.598238,0.776667,0.032417,131.00,中等,99
002241,0.04045,0.033179,0.050235,1.705291,1.270924,3.492994,0.856908,0.50813,0.720394,0.01761,131.00,中等,99
002536,0.011439,0.05503,0.055426,0.960462,0.946739,5.859464,0.770175,0.443707,0.95104,0.035589,97.48,低,95
002536,0.017704,0.06127,0.067808,1.823413,1.739392,3.129374,0.737408,0.437707,0.952502,0.076991,111.44,低,95
002536,0.036915,0.059179,0.067215,3.022225,2.82136,1.98858,0.787183,0.432529,0.981154,0.116605,131.68,低,95
002536,0.054728,0.066443,0.066011,3.925696,3.256402,1.472217,0.755678,0.44041,0.980407,0.140176,131.00,低,95
002536,0.032373,0.044926,0.054529,1.128486,1.209078,4.489289,0.821228,0.442601,0.998474,0.050194,131.00,低,95
002715,0.003953,0.077838,0.042571,0.70793,0.306974,8.705907,0.880142,0.275079,0.95104,0.035589,97.48,高,90
002715,0.003959,0.089195,0.041424,1.476052,0.615298,4.235723,0.810484,0.294519,0.952502,0.076991,111.44,高,90
002715,0.008889,0.086005,0.03746,2.078807,1.040909,2.707175,0.881105,0.313393,0.981154,0.116605,131.68,高,90
002715,0.030153,0.089014,0.034501,3.09697,1.491351,1.971189,0.935935,0.30746,0.980407,0.140176,131.00,高,90
002715,0.008424,0.086249,0.031093,0.801981,0.4653,8.586256,0.874076,0.479268,0.998474,0.050194,131.00,高,90
002921,0.021098,0.077122,0.028652,1.107547,0.607305,6.437903,0.831302,0.416512,0.95104,0.035589,97.48,较高,86
002921,0.047798,0.087183,0.028487,1.944108,1.294884,3.060816,0.806514,0.448519,0.952502,0.076991,111.44,较高,86
002921,0.065328,0.087785,0.028757,3.102495,2.097901,2.40502,1.352366,0.465308,0.981154,0.116605,131.68,较高,86
002921,0.084105,0.085984,0.027042,3.777326,2.980645,1.660053,1.597189,0.437492,0.980407,0.140176,131.00,较高,86
002921,0.030831,0.079296,0.027417,1.091425,0.753985,5.707966,1.420081,0.428524,0.998474,0.050194,131.00,较高,86
003023,0.090522,0.105208,0.023526,6.666556,1.268226,1.767748,1.826229,0.307509,1.157015,0.203443,131.00,低,86
003023,0.028804,0.084848,0.022433,2.837389,0.298746,7.269711,1.608393,0.358417,1.341363,0.069985,131.00,低,86
300586,0.018651,0.043138,0.035392,1.989092,1.737857,5.015737,0.78238,0.499364,2.522003,0.007967,97.48,中等,95
300586,0.059456,0.04766,0.029815,4.284236,3.837361,2.372968,0.734935,0.474816,2.906076,0.009893,111.44,中等,95
300586,0.062864,0.042258,0.035323,5.841506,5.440287,1.746963,1.112173,0.489421,2.830545,0.020503,131.68,中等,95
300586,0.032607,0.03706,0.03322,8.617836,6.614425,1.273256,0.960681,0.508761,3.234701,0.024772,131.00,中等,95
300586,0.020618,0.030837,0.022873,1.881945,1.973723,4.486572,0.978263,0.514728,3.440949,0.017814,131.00,中等,95
300791,0.025055,0.107391,0.030694,1.689571,0.889676,6.968322,3.037184,0.200791,0.620925,0.058564,97.48,低,89
300791,0.060602,0.100242,0.034307,3.492165,2.353116,2.757576,3.271649,0.188111,0.571964,0.134133,111.44,低,89
300791,0.088116,0.094668,0.034387,5.64518,3.522841,1.814285,2.9762,0.199255,0.747727,0.181584,131.68,低,89
300791,0.117912,0.09386,0.03131,7.906093,5.221791,1.281989,2.73102,0.176231,0.784646,0.229825,131.00,低,89
300791,0.02558,0.109737,0.03456,1.960895,0.94207,5.395047,2.353219,0.181101,0.748915,0.067686,131.00,低,89
300902,0.074078,0.110286,0.06118,1.93454,2.101035,3.349353,8.002644,0.092781,1.194101,0.033548,131.00,低,90
300902,0.004767,0.177531,0.066024,0.326421,0.413424,21.010483,10.281293,0.072345,1.169871,-0.00729,131.00,低,90
300930,0.181086,0.016428,0.035548,11.599953,8.246423,1.173254,4.972243,0.116575,0.776667,0.032417,131.00,低,88
300930,0.028635,0.021384,0.028541,2.511484,2.996796,5.722235,13.528306,0.05647,0.720394,0.01761,131.00,低,88
